trial_dir,config_label,chunked_prefill,max_num_batched_tokens,replicate,trial_kind,background_concurrency,interferer_input_tokens,interferer_count,baseline_window_s,impact_window_s,baseline_gap_count,impact_gap_count,baseline_gap_p95_ms,baseline_gap_p99_ms,impact_gap_p95_ms,impact_gap_p99_ms,impact_gap_max_ms,p95_stall_ratio,p99_stall_ratio,background_event_rate_baseline_s,background_event_rate_impact_s,background_event_rate_ratio,long_ttft_p50_ms,long_ttft_p95_ms,long_e2e_p50_ms,impact_max_running,impact_max_waiting,impact_max_kv_usage,preemptions_delta,completed_background_requests,event_token_delta_min,event_token_delta_max
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_16384/inject_16384,on_16384,1,16384,3,inject,64,16384,1,4.0,0.4839575029909611,37323,569,10.16252152621746,10.931922085583206,393.93392093479633,394.0316500887275,394.15536634624004,38.76340334615955,36.04413267895207,9314.75,1043.48005120076,0.1120244828042363,483.4725670516491,483.4725670516491,642.9505180567503,65.0,0.0,0.07655599811664104,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_16384/inject_24576,on_16384,1,16384,3,inject,64,24576,1,4.0,0.775938119739294,37323,495,10.113972052931786,11.227723639458414,386.03821489959955,386.2111203558743,386.2644387409091,38.16880379728722,34.39798954425492,9314.75,555.4566646948739,0.0596319455374405,775.3719920292497,775.3719920292497,966.496217995882,65.0,0.0,0.07981370016415767,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_16384/inject_8192,on_16384,1,16384,3,inject,64,8192,1,4.0,0.22557439096271992,37310,481,10.190533939749,11.338822115212677,174.45880360901356,174.8213766142726,174.8347543179989,17.119692122168683,15.417948605060513,9311.5,1848.6141011854334,0.19853021545244412,225.03754869103432,225.03754869103432,362.6028588041663,65.0,0.0,0.07329829606912441,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_2048/control,on_2048,1,2048,3,control,64,16384,1,4.0,2.0042160991579294,37408,17152,10.086381761357188,11.390555780380966,9.947157790884376,11.294318316504361,13.08634877204895,0.9861968371050355,0.9915511178091623,9336.0,8526.026712977466,0.9132419358373464,,,,64.0,0.0,0.07603434620268279,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_2048/inject_16384,on_2048,1,2048,3,inject,64,16384,1,4.0,0.6516456538811326,37248,940,10.21275226958096,11.517316438257692,86.13563114777207,86.57930979505181,86.93762496113777,8.43412518722598,7.517316230667817,9296.0,1344.2888704660834,0.14460938795891604,651.1515909805894,651.1515909805894,806.2004232779145,65.0,0.0,0.07563204807462631,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_2048/inject_24576,on_2048,1,2048,3,inject,64,24576,1,4.0,1.0680363774299622,37280,1247,10.340228024870155,11.588382655754682,106.13491963595152,106.75138477236032,106.78224358707666,10.264272642796412,9.211931288733254,9304.0,1107.6401749972947,0.11904988983203942,1067.434063181281,1067.434063181281,1250.8262880146503,65.0,0.0,0.0790515821631067,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_2048/inject_8192,on_2048,1,2048,3,inject,64,8192,1,4.0,0.30988411139696836,37141,672,10.198229923844337,11.658169329166409,67.07254750654101,67.18987966887653,67.63758324086666,6.576881283066548,5.763330225508124,9269.25,1962.0237941826538,0.2116701776500422,309.4490198418498,309.4490198418498,446.31041027605534,65.0,0.0,0.07231308851815998,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_32768/control,on_32768,1,32768,3,control,64,16384,1,4.0,2.000097726471722,37272,17088,11.559857241809368,14.937823060899998,10.181082505732775,11.253504622727634,12.821057811379433,0.880727356122541,0.753356401186989,9302.0,8511.584096458744,0.9150273163253864,,,,64.0,0.0,0.07766789744119396,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_32768/inject_16384,on_32768,1,32768,3,inject,64,16384,1,4.0,0.45211193338036537,37070,401,10.07251115515828,10.989217497408383,406.85575269162655,407.0215970277786,407.0953745394945,40.39268325687282,37.038269296587096,9251.5,745.3906325371846,0.08056970572741551,451.3208996504545,451.3208996504545,609.068987891078,65.0,0.0,0.077254770327145,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_32768/inject_24576,on_32768,1,32768,3,inject,64,24576,1,4.0,0.7469017626717687,38297,457,9.891355223953724,11.282468102872377,690.4522597789764,690.7743794471025,690.9036748111248,69.80360568862396,61.225467082972735,9558.25,526.1736143106502,0.055049157985054824,746.3038759306073,746.3038759306073,929.7411171719432,65.0,0.0,0.08097936946474216,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_32768/inject_8192,on_32768,1,32768,3,inject,64,8192,1,4.0,0.218006769195199,37205,408,9.932553768157957,10.82672499120235,175.13330522924662,175.28599322773516,175.3111518919468,17.63225342818617,16.190121515986615,9285.25,1577.9326544305104,0.16993970592396654,217.5214048475027,217.5214048475027,356.97692167013884,65.0,0.0,0.07394975341475385,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_4096/control,on_4096,1,4096,3,control,64,16384,1,4.0,2.0010796217247844,37341,17056,11.191492900252342,15.694801509380326,12.057633604854345,15.525265596807005,27.647970244288445,1.0773927761310982,0.9891979575229419,9319.25,8491.416241275865,0.9111694869518325,,,,64.0,0.0,0.07583418866926517,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_4096/inject_16384,on_4096,1,4096,3,inject,64,16384,1,4.0,0.5515248971059918,36936,670,10.037239408120513,11.56044895760716,146.70534040778875,146.76539144478738,146.785163320601,14.616104532596731,12.69547506182369,9218.0,1098.7717928598593,0.11919850215446509,550.513319671154,550.513319671154,708.8167816400528,65.0,0.0,0.07576492220116238,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_4096/inject_24576,on_4096,1,4096,3,inject,64,24576,1,4.0,0.9116989150643349,37307,888,10.08201465010643,11.09108243137598,174.49304875917733,174.98997774906456,175.05302280187607,17.30735917521557,15.777538290945241,9310.75,903.8071521033385,0.09707135860197497,911.0221182927489,911.0221182927489,1095.6119019538164,65.0,0.0,0.07912119742832491,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_4096/inject_8192,on_4096,1,4096,3,inject,64,8192,1,4.0,0.271399506367743,37176,634,10.100187500938773,11.545210843905807,104.96437852270901,105.03843777813017,105.0540329888463,10.39231979732584,9.09800948620832,9278.0,2100.2248958686646,0.2263661237194077,270.6833053380251,270.6833053380251,405.3255897015333,65.0,0.0,0.07254088295855976,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_512/control,on_512,1,512,3,control,64,16384,1,4.0,2.008806207217276,36954,16960,12.0023381896317,18.72520268894735,12.732948781922458,19.203488910570737,25.945418514311314,1.060872355098434,1.0255423788766622,9222.5,8410.965646808407,0.9120049495048421,,,,64.0,0.0,0.07463454742880815,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_512/inject_16384,on_512,1,512,3,inject,64,16384,1,4.0,1.298355782404542,37265,2762,10.363619960844513,12.327480874955654,40.832751570269465,41.93549416027963,42.0721136033535,3.9400085804518516,3.4017894317301454,9300.25,2078.0128502245593,0.22343623560921044,1297.7967979386449,1297.7967979386449,1462.3474776744843,65.0,0.0,0.07551326550466664,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_512/inject_24576,on_512,1,512,3,inject,64,24576,1,4.0,2.1291220942512155,37295,3923,11.416487582027905,15.352395065128752,52.50072265043855,58.059346321970224,59.06542297452688,4.598675579789215,3.7817777666395216,9307.75,1812.4841268706857,0.1947284925863593,2128.2743252813816,2128.2743252813816,2314.658507704735,65.0,0.0,0.07913483928874043,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_512/inject_8192,on_512,1,512,3,inject,64,8192,1,4.0,0.6119698602706194,37177,1678,9.792223758995533,12.465641573071473,32.87554830312729,32.94275118969381,33.8079622015357,3.357311792730071,2.6426839723081237,9278.25,2637.384787685904,0.2842545509860053,611.5320045500994,611.5320045500994,751.107175834477,65.0,0.0,0.0718414792591151,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_8192/control,on_8192,1,8192,3,control,64,16384,1,4.0,2.000538971275091,37448,17088,10.068647935986519,11.702891541644927,10.095308907330036,12.237083381041895,20.615211687982082,1.0026479197120626,1.0456461411691322,9346.0,8509.706756249467,0.9105185915096797,,,,64.0,0.0,0.07641670351885776,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_8192/inject_16384,on_8192,1,8192,3,inject,64,16384,1,4.0,0.49630249477922916,37243,524,10.269030183553696,11.777572333812719,254.185601323843,254.450341174379,254.7003934159875,24.752639419731423,21.60465110826507,9294.75,926.8540957156025,0.09971802315453375,495.5387441441417,495.5387441441417,663.4715143591166,65.0,0.0,0.07596184218838842,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_8192/inject_24576,on_8192,1,8192,3,inject,64,24576,1,4.0,0.8418479552492499,37256,708,10.144201572984457,12.553633842617272,317.3620892222971,317.4571836646646,317.6458040252328,31.285073244944215,25.288070979651806,9298.0,764.9837431859389,0.08227400980704871,840.9750396385789,840.9750396385789,1024.1753114387393,65.0,0.0,0.07924695179733399,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_3/on_8192/inject_8192,on_8192,1,8192,3,inject,64,8192,1,4.0,0.2393916118890047,37280,458,10.173639468848704,11.2091489136219,170.56183936074376,170.90298242866993,170.911087654531,16.76507604608927,15.246740296311021,9304.0,1645.8387864595704,0.17689582829531067,238.89013659209013,238.89013659209013,378.83357144892216,65.0,0.0,0.07277781287510265,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/off_32768/control,off_32768,0,32768,4,control,64,16384,1,4.0,2.0118708219379187,36675,16832,12.038774974644173,17.50294603407383,14.356495020911098,25.499619720503663,29.485768638551235,1.1925212532959923,1.4568758694029178,9152.75,8334.531132495056,0.9106040405883539,,,,64.0,0.0,0.07766789744119396,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/off_32768/inject_16384,off_32768,0,32768,4,inject,64,16384,1,4.0,0.47865468356758356,36536,510,14.097742503508925,22.011136868968634,422.5561448838562,423.7472217530012,424.0945167839527,29.97331982611273,19.25149183686197,9118.0,931.7782010943744,0.10219107272366466,478.05609460920095,478.05609460920095,620.8437457680702,65.0,0.0,0.07726122543830205,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/off_32768/inject_24576,off_32768,0,32768,4,inject,64,24576,1,4.0,0.7788743712007999,36269,696,11.071565933525559,16.390562616288662,689.3223931547254,690.4086086433381,690.5893702059984,62.26060498519038,42.122325194451946,9051.25,811.4273923606422,0.08964810300904762,777.8296703472733,777.8296703472733,962.184683419764,65.0,0.0,0.08055978723953627,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/off_32768/inject_8192,off_32768,0,32768,4,inject,64,8192,1,4.0,0.23716833349317312,36589,592,12.486369907855988,18.019540943205367,174.45128639228642,174.66652733273804,174.7301034629345,13.971337360630953,9.693172977228345,9131.25,2226.266855373415,0.2438074584940085,236.47040780633688,236.47040780633688,371.87926657497883,65.0,0.0,0.07414340674946418,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_1024/control,on_1024,1,1024,4,control,64,16384,1,4.0,2.004953638650477,36864,17216,10.858976980671285,17.74444286711514,12.508685933426023,16.178803518414497,21.537321619689465,1.1519212128077239,0.9117673425744935,9200.0,8554.811278102627,0.9298707910981115,,,,64.0,0.0,0.07542052025843393,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_1024/inject_16384,on_1024,1,1024,4,inject,64,16384,1,4.0,0.882324755191803,36942,1595,12.006231350824224,18.031421406194564,59.01575377210975,67.59910712018609,68.37048847228289,4.915427001834204,3.748961637431584,9219.5,1735.1887624043661,0.18820855386998928,881.5255668014288,881.5255668014288,1038.4659618139267,65.0,0.0,0.07541424149384368,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_1024/inject_24576,on_1024,1,1024,4,inject,64,24576,1,4.0,1.4155642446130514,36729,2048,12.593627534806727,18.432784155011177,75.74166036210954,78.04964432492852,78.34800146520138,6.014284617579167,4.2342840706301965,9166.25,1401.5612555559653,0.15290454172163812,1414.9675695225596,1414.9675695225596,1596.7709608376026,65.0,0.0,0.07872942919751114,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_1024/inject_8192,on_1024,1,1024,4,inject,64,8192,1,4.0,0.43933622259646654,35516,1363,15.953356167301536,22.614541277289387,53.44901876524091,54.692823346704245,55.38097210228443,3.3503306893374307,2.4184803342276684,8863.0,2956.7332106670856,0.3336041081650779,438.4957365691662,438.4957365691662,577.6996091008186,65.0,0.0,0.07184790320656509,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_16384/control,on_16384,1,16384,4,control,64,16384,1,4.0,2.011220244690776,37216,17152,11.297241551801562,15.721072209998963,11.80262309499085,17.487316206097674,20.696397870779037,1.044734950640114,1.1123488253539946,9288.0,8496.334523833948,0.9147646989485302,,,,64.0,0.0,0.07655599811664104,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_16384/inject_16384,on_16384,1,16384,4,inject,64,16384,1,4.0,0.4837753437459469,36767,528,11.258913110941641,14.347254019230597,394.5122196804732,395.19116470590234,395.30385937541723,35.03999149767647,27.544724877401684,9175.75,959.1228780019599,0.10452800893681279,483.1195455044508,483.1195455044508,644.4433173164725,65.0,0.0,0.07614878536070147,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_16384/inject_24576,on_16384,1,16384,4,inject,64,24576,1,4.0,0.8048522127792239,36529,740,11.891928873956203,17.97829434275627,394.13857217878103,394.6114637795836,394.6889992803335,33.14336777122509,21.949327130611728,9116.25,839.9057482437848,0.0921328120931068,804.0463235229254,804.0463235229254,985.4498375207186,65.0,0.0,0.07941285010752963,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_16384/inject_8192,on_16384,1,16384,4,inject,64,8192,1,4.0,0.217813977971673,36982,397,11.11183199100196,15.585970450192692,168.64083353430033,168.73026341199875,168.7514539808035,15.17669036670648,10.825778475020316,9229.5,1528.8275027202665,0.1656457557527782,217.2474879771471,217.2474879771471,356.7492701113224,65.0,0.0,0.07329829606912441,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_2048/control,on_2048,1,2048,4,control,64,16384,1,4.0,2.0050379764288664,37104,17088,9.947921056300402,11.076430408284068,10.346358874812722,11.486023860052228,13.235830701887608,1.0400523703653615,1.0369788313265458,9260.0,8490.612247814433,0.9169127697423795,,,,64.0,0.0,0.07563204807462631,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_4/on_2048/inject_16384,on_2048,1,2048,4,inject,64,16384,1,4.0,0.6639702571555972,37066,1022,10.464661987498403,12.02790578827262,88.32621048204601,88.39380900375545,88.47270254045725,8.440426512348399,7.349060639462331,9250.5,1442.835713912858,0.15597380832526436,662.7605753019452,662.7605753019452,818.4315636754036,65.0,0.0,0.07552518763436133,0.0,0,,
