config_label,chunked_prefill,max_num_batched_tokens,trial_kind,background_concurrency,interferer_input_tokens,interferer_count,n_runs,p95_stall_ratio_median,p95_stall_ratio_ci_low,p95_stall_ratio_ci_high,p99_stall_ratio_median,p99_stall_ratio_ci_low,p99_stall_ratio_ci_high,impact_gap_max_ms_median,impact_gap_max_ms_ci_low,impact_gap_max_ms_ci_high,background_event_rate_ratio_median,background_event_rate_ratio_ci_low,background_event_rate_ratio_ci_high,long_ttft_p50_ms_median,long_ttft_p50_ms_ci_low,long_ttft_p50_ms_ci_high,long_e2e_p50_ms_median,long_e2e_p50_ms_ci_low,long_e2e_p50_ms_ci_high,impact_max_waiting_median,impact_max_waiting_ci_low,impact_max_waiting_ci_high,impact_max_kv_usage_median,impact_max_kv_usage_ci_low,impact_max_kv_usage_ci_high
on_16384,1,16384,inject,64,8192,1,5,16.370137367132788,14.05363121355863,17.35229069615246,14.665080828501491,10.76356215529572,15.417948605060513,174.8347543179989,167.60724782943726,179.33920584619045,0.17773305827274294,0.1656457557527782,0.19853021545244412,221.40475641936064,217.2474879771471,225.03754869103432,355.99744133651257,353.71321346610785,362.6028588041663,0.0,0.0,0.0,0.07329829606912441,0.07289108331318483,0.07329829606912441
on_8192,1,8192,inject,64,8192,1,5,16.599780042041342,14.152643963543046,16.76507604608927,15.076321189374603,11.270520514419957,15.530582006683309,167.37415548413992,166.04273673146963,170.911087654531,0.21921551403326242,0.17689582829531067,0.2683217726287309,245.3412776812911,238.47379442304373,268.08351557701826,380.8161886408925,377.67956871539354,403.91958970576525,0.0,0.0,0.0,0.07277781287510265,0.07237349169246321,0.07277781287510265
on_4096,1,4096,inject,64,8192,1,5,10.833698714338528,9.498636896802461,10.932188363677987,9.745171889743652,7.0289413756844965,9.99781864724912,111.57735623419285,105.0540329888463,115.51163997501135,0.2263661237194077,0.18352800530752636,0.23255329899884317,270.6833053380251,256.6052619367838,277.6556368917227,403.388244099915,392.67092384397984,416.5171543136239,0.0,0.0,0.0,0.07254088295855976,0.07208750244006878,0.07321770190480426
on_2048,1,2048,inject,64,8192,1,5,6.576881283066548,4.636650709331524,6.874573307120702,5.676717722014871,3.3064531226329485,6.208175708517516,69.06496547162533,67.63758324086666,71.03167939931154,0.2201204814850306,0.20570754362879376,0.2340610687906423,309.4490198418498,306.8880410864949,317.5220377743244,446.31041027605534,441.77323766052723,457.6755752786994,0.0,0.0,0.0,0.07231308851815998,0.07166563996831898,0.07241366305017416
on_1024,1,1024,inject,64,8192,1,5,4.417080362291982,3.308112500452378,4.438869503206906,3.019950439097502,2.389924095665503,3.8207858002818518,47.32132516801357,45.113639906048775,55.38097210228443,0.24279272904520308,0.22955390184585547,0.3336041081650779,403.7605272606015,394.64659336954355,438.4957365691662,541.2439964711666,535.0182559341192,577.6996091008186,0.0,0.0,0.0,0.07193580591082893,0.07184790320656509,0.07209686990997366
on_512,1,512,inject,64,8192,1,5,3.357311792730071,3.225262190320121,3.5861406240645994,2.6426839723081237,2.199503902283045,5.058081367869069,38.75497356057167,33.8079622015357,58.527556248009205,0.27231773274174026,0.2669178591233942,0.2842545509860053,600.3743819892406,594.5636974647641,622.4345760419965,734.7819823771715,733.0046277493238,751.107175834477,0.0,0.0,0.0,0.07170339499005163,0.07143977956729408,0.07190424483596214
off_32768,0,32768,inject,64,16384,1,5,37.225065231050074,29.97331982611273,40.862978248898465,31.42688249583566,19.25149183686197,35.0517740208867,399.4822269305587,395.95641382038593,424.0945167839527,0.10219107272366466,0.08044656429140636,0.12017344458193611,470.1678967103362,444.9981991201639,478.05609460920095,620.8437457680702,605.6795436888933,632.0638097822666,0.0,0.0,0.0,0.07766789744119396,0.07726122543830205,0.077674352552351
on_32768,1,32768,inject,64,16384,1,5,36.28119376973302,34.22045902192113,40.39268325687282,29.42089703145463,25.434595422670792,37.038269296587096,401.53809264302254,399.4075432419777,407.0953745394945,0.10565439008905314,0.06826774514340934,0.15115669993691777,457.05475844442844,440.49502816051245,497.43990413844585,613.5502550750971,602.9444644227624,655.152752995491,0.0,0.0,0.0,0.07748715432879749,0.077254770327145,0.077674352552351
on_16384,1,16384,inject,64,16384,1,5,35.50263680419415,32.74120974478821,40.43648656097774,27.544724877401684,23.89502705133947,37.6357357297461,395.2379450201988,393.5071639716625,402.45604515075684,0.1120244828042363,0.09311249226557058,0.1318894295066303,483.18824265152216,477.7511451393366,499.0103570744395,644.4433173164725,638.7628894299269,647.9770820587873,0.0,0.0,0.0,0.07653054731939479,0.07614878536070147,0.07656236081595258
on_8192,1,8192,inject,64,16384,1,5,23.714621299547588,21.198374521570038,24.752639419731423,20.25850876306685,16.00168121252762,21.60465110826507,250.45299343764782,248.5982095822692,254.7003934159875,0.10679728898891004,0.09971802315453375,0.11765092901390796,502.50109657645226,495.5387441441417,515.9085020422935,663.4715143591166,661.5056442096829,668.9791353419423,0.0,0.0,0.0,0.07596184218838842,0.07560806115357888,0.07609451007644197
on_4096,1,4096,inject,64,16384,1,5,13.970866584743227,11.367047330221403,14.616104532596731,12.612577077399473,8.455766036228662,12.69547506182369,145.10268066078424,143.8700882717967,146.785163320601,0.1283125516419637,0.11919850215446509,0.13763776062301628,550.513319671154,547.3216604441404,553.3165894448757,714.1910763457417,708.8167816400528,719.3569401279092,0.0,0.0,0.0,0.07576492220116238,0.0756704679264768,0.07647182198946223
on_2048,1,2048,inject,64,16384,1,5,8.43412518722598,7.492399646485861,8.765749128643803,7.349060639462331,5.031083059348608,7.517316230667817,88.47270254045725,86.93762496113777,94.03087943792343,0.15597380832526436,0.14311912501053672,0.17218489109855625,655.978349968791,647.5466024130583,662.7605753019452,818.4315636754036,805.8461435139179,819.1917706280947,0.0,0.0,0.0,0.07563204807462631,0.07552518763436133,0.07577033805614575
on_1024,1,1024,inject,64,16384,1,5,5.23111441699995,4.915427001834204,5.59920599070194,3.7817615684596264,3.3921753248905437,4.936430651901423,58.707150630652905,58.56948718428612,68.37048847228289,0.18365406484025565,0.18025438419630585,0.18820855386998928,867.8727736696601,867.0752439647913,881.5255668014288,1029.022939503193,1023.3913483098149,1038.4659618139267,0.0,0.0,0.0,0.07570306466499654,0.07541424149384368,0.07584119748598261
on_512,1,512,inject,64,16384,1,5,3.9400085804518516,3.8465096477364114,4.110370015889644,3.4017894317301454,2.8528125349011666,3.805237016985174,43.80539618432522,41.86522960662842,54.076651111245155,0.22437507905812812,0.21850969018150967,0.23850982206253923,1296.4549539610744,1288.9012265950441,1317.225900478661,1462.3474776744843,1455.4237872362137,1475.3561103716493,0.0,0.0,0.0,0.07551326550466664,0.07505507679368328,0.07560741386993719
off_32768,0,32768,inject,64,24576,1,5,65.4326035598654,59.30000965422527,69.35910237005632,51.89377351458566,39.18520804159591,62.80579259450175,701.2026701122522,690.5893702059984,707.0614928379655,0.05849052252766929,0.05472629010050164,0.08964810300904762,752.193127758801,741.5688810870051,777.8296703472733,935.0370448082685,925.4969395697117,962.184683419764,0.0,0.0,0.0,0.08055978723953627,0.08055978723953627,0.08097936946474216
on_32768,1,32768,inject,64,24576,1,5,67.63942789732013,60.401300667741396,71.43679442468952,60.71948239043663,43.32084182852881,63.921696228934124,696.0559729486704,690.9036748111248,697.8077925741673,0.055049157985054824,0.05250589321409242,0.06544012810593154,749.4957754388452,744.3793313577771,751.6747806221247,932.9104078933597,929.7411171719432,936.7847749963403,0.0,0.0,0.0,0.08097291435358522,0.08055978723953627,0.08097936946474216
on_16384,1,16384,inject,64,24576,1,5,37.05415701295284,33.14336777122509,38.25961367294421,27.980929245589753,21.949327130611728,34.39798954425492,394.6889992803335,386.2644387409091,398.66469241678715,0.06707323810549178,0.0596319455374405,0.0921328120931068,785.0550813600421,775.3719920292497,804.0463235229254,968.2229869067669,966.1249155178666,985.4498375207186,0.0,0.0,0.0,0.07966735807999181,0.07941285010752963,0.07982006286346921
on_8192,1,8192,inject,64,24576,1,5,28.537274131736826,27.83090395618529,31.285073244944215,21.085739701371622,19.47170263115239,27.27228908527939,316.80810917168856,313.76673094928265,317.6458040252328,0.08227400980704871,0.07832655117644327,0.0971889873518489,840.9750396385789,831.5480034798384,853.8013296201825,1028.8181249052286,1018.0735383182764,1037.571955472231,0.0,0.0,0.0,0.07915218902015286,0.07901320361362052,0.07924695179733399
