timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 04:27:11.687, 3 %, 525 MiB, 52, 110.86 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:13.688, 0 %, 525 MiB, 52, 110.86 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:15.689, 0 %, 525 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:17.690, 1 %, 525 MiB, 52, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:19.692, 0 %, 525 MiB, 52, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:21.693, 0 %, 525 MiB, 51, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:23.694, 0 %, 525 MiB, 51, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:25.695, 0 %, 525 MiB, 51, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:27.697, 2 %, 525 MiB, 51, 110.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:29.698, 0 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:31.699, 0 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:33.700, 0 %, 525 MiB, 51, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:35.701, 0 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:37.706, 0 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:39.708, 2 %, 525 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:41.709, 0 %, 525 MiB, 51, 110.58 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:43.712, 0 %, 525 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:45.714, 1 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:47.715, 3 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:49.716, 1 %, 525 MiB, 51, 110.60 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:51.717, 0 %, 525 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:53.718, 0 %, 525 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:55.719, 0 %, 525 MiB, 51, 110.48 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:57.720, 1 %, 525 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:27:59.721, 1 %, 525 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:01.722, 4 %, 525 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:03.724, 0 %, 525 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:05.725, 0 %, 525 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:07.726, 0 %, 525 MiB, 51, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:09.728, 1 %, 525 MiB, 51, 112.06 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:11.729, 1 %, 525 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:13.731, 0 %, 527 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:15.732, 0 %, 527 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:17.734, 0 %, 527 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:19.735, 0 %, 527 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:21.736, 0 %, 531 MiB, 51, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:23.737, 0 %, 527 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:25.738, 1 %, 527 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:28:27.739, 4 %, 527 MiB, 51, 110.37 W, 1410 MHz, 1512 MHz
