timestamp, index, name, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/10 08:47:24.023, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:26.024, 0, NVIDIA A100-SXM4-80GB, 63, 361.70 W, 1410 MHz, 1593 MHz, 79306 MiB, 77 %
2026/09/10 08:47:26.035, 1, NVIDIA A100-SXM4-80GB, 49, 359.52 W, 1410 MHz, 1593 MHz, 79306 MiB, 84 %
2026/09/10 08:47:26.035, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:26.036, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:28.036, 0, NVIDIA A100-SXM4-80GB, 62, 295.32 W, 1410 MHz, 1593 MHz, 79306 MiB, 93 %
2026/09/10 08:47:28.036, 1, NVIDIA A100-SXM4-80GB, 49, 359.79 W, 1410 MHz, 1593 MHz, 79306 MiB, 95 %
2026/09/10 08:47:28.037, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:28.037, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:30.037, 0, NVIDIA A100-SXM4-80GB, 62, 361.98 W, 1410 MHz, 1593 MHz, 79306 MiB, 78 %
2026/09/10 08:47:30.038, 1, NVIDIA A100-SXM4-80GB, 50, 344.68 W, 1410 MHz, 1593 MHz, 79306 MiB, 82 %
2026/09/10 08:47:30.038, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:30.039, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:32.040, 0, NVIDIA A100-SXM4-80GB, 63, 373.14 W, 1410 MHz, 1593 MHz, 79306 MiB, 77 %
2026/09/10 08:47:32.044, 1, NVIDIA A100-SXM4-80GB, 50, 267.19 W, 1410 MHz, 1593 MHz, 79306 MiB, 88 %
2026/09/10 08:47:32.051, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:32.059, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:34.064, 0, NVIDIA A100-SXM4-80GB, 63, 363.27 W, 1410 MHz, 1593 MHz, 79306 MiB, 90 %
2026/09/10 08:47:34.066, 1, NVIDIA A100-SXM4-80GB, 49, 350.71 W, 1410 MHz, 1593 MHz, 79306 MiB, 98 %
2026/09/10 08:47:34.068, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:34.069, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:36.070, 0, NVIDIA A100-SXM4-80GB, 62, 320.10 W, 1410 MHz, 1593 MHz, 79306 MiB, 92 %
2026/09/10 08:47:36.071, 1, NVIDIA A100-SXM4-80GB, 48, 286.58 W, 1410 MHz, 1593 MHz, 79306 MiB, 90 %
2026/09/10 08:47:36.077, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:36.078, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:38.082, 0, NVIDIA A100-SXM4-80GB, 54, 131.50 W, 1410 MHz, 1593 MHz, 78338 MiB, 0 %
2026/09/10 08:47:38.082, 1, NVIDIA A100-SXM4-80GB, 41, 120.57 W, 1410 MHz, 1593 MHz, 78338 MiB, 0 %
2026/09/10 08:47:38.082, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:38.082, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:40.082, 0, NVIDIA A100-SXM4-80GB, 52, 133.29 W, 1410 MHz, 1593 MHz, 0 MiB, 99 %
2026/09/10 08:47:40.087, 1, NVIDIA A100-SXM4-80GB, 39, 117.04 W, 1380 MHz, 1593 MHz, 0 MiB, 1 %
2026/09/10 08:47:40.089, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:40.109, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:42.111, 0, NVIDIA A100-SXM4-80GB, 52, 129.65 W, 1410 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:42.111, 1, NVIDIA A100-SXM4-80GB, 40, 121.56 W, 1410 MHz, 1593 MHz, 0 MiB, 100 %
2026/09/10 08:47:42.112, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:42.112, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:44.112, 0, NVIDIA A100-SXM4-80GB, 48, 74.14 W, 225 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:44.117, 1, NVIDIA A100-SXM4-80GB, 38, 70.03 W, 285 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:44.122, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:44.129, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:46.135, 0, NVIDIA A100-SXM4-80GB, 47, 73.53 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:46.135, 1, NVIDIA A100-SXM4-80GB, 36, 67.91 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:46.135, 2, NVIDIA A100-SXM4-80GB, 30, 65.12 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:46.135, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 0 MiB, 0 %
2026/09/10 08:47:48.135, 0, NVIDIA A100-SXM4-80GB, 47, 73.21 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:47:48.136, 1, NVIDIA A100-SXM4-80GB, 36, 67.91 W, 210 MHz, 1593 MHz, 1 MiB, 0 %
2026/09/10 08:47:48.137, 2, NVIDIA A100-SXM4-80GB, 30, 65.06 W, 210 MHz, 1593 MHz, 1 MiB, 0 %
2026/09/10 08:47:48.137, 3, NVIDIA A100-SXM4-80GB, 28, 66.82 W, 210 MHz, 1593 MHz, 1 MiB, 0 %
2026/09/10 08:47:50.143, 0, NVIDIA A100-SXM4-80GB, 47, 94.68 W, 1140 MHz, 1593 MHz, 422 MiB, 0 %
