configured_lambda_req_s,realized_lambda_req_s,request_id,workload_category,ttft_ms,mean_content_event_itl_ms,e2e_ms,output_tokens,ttft_slo_pass,itl_slo_pass,overall_slo_pass
0.4,0.3455210222603422,req_0743,document_qa,98.4166619964526,7.78911901434185,643.8957979989937,70,1,1,1
0.6,0.5182815333905132,req_0675,document_qa,74.06526699924143,7.749792044503717,423.01686300197616,45,1,1,1
0.6,0.5182815333905132,req_0968,long_output,18.502976003219374,8.420577175319053,3909.0639960049884,462,1,1,1
0.6,0.5182815333905132,req_0167,short_interactive,23.571710000396706,13.619515852898235,486.88561400194885,34,1,1,1
0.6,0.5182815333905132,req_0846,long_context_qa,226.93522200279403,8.338536854584659,685.8485950069735,55,1,1,1
0.6,0.5182815333905132,req_0446,knowledge_qa,23.22443299635779,8.183952421916274,1071.0732590014231,128,1,1,1
0.6,0.5182815333905132,req_0407,knowledge_qa,42.18884900183184,8.925429064503831,872.4328550015343,93,1,1,1
0.6,0.5182815333905132,req_0162,short_interactive,14.124047003861051,7.883253632291384,550.3773879972869,68,1,1,1
0.6,0.5182815333905132,req_0638,coding_request,31.48415200121235,8.84038095315822,3240.8923549955944,363,1,1,1
0.6,0.5182815333905132,req_0895,long_context_qa,244.65965199487982,9.253475844161585,957.479347998742,77,1,1,1
0.6,0.5182815333905132,req_0233,short_interactive,95.50863500044215,8.054404335950949,2157.657839998137,256,1,1,1
0.6,0.5182815333905132,req_0703,document_qa,95.1066269990406,8.352868804886532,1122.7723249976407,123,1,1,1
0.6,0.5182815333905132,req_0356,knowledge_qa,26.514090001001023,8.575671719930446,669.9258430016926,75,1,1,1
0.6,0.5182815333905132,req_0429,knowledge_qa,14.440664002904668,7.697890452599447,745.9644710033899,95,1,1,1
0.6,0.5182815333905132,req_0855,long_context_qa,213.1541099952301,8.014021767929632,2112.712983995152,237,1,1,1
0.6,0.5182815333905132,req_0099,short_interactive,14.083786998526193,7.752554003900514,1998.9350460018613,256,1,1,1
0.6,0.5182815333905132,req_0175,short_interactive,118.26231900340645,9.132083362944993,1351.3290179980686,135,1,1,1
0.6,0.5182815333905132,req_0093,short_interactive,240.77812299947254,8.190582064815787,1125.5786809997517,108,1,1,1
0.6,0.5182815333905132,req_0426,knowledge_qa,25.24521399755031,8.135668102533181,660.1351519930176,78,1,1,1
0.6,0.5182815333905132,req_0960,long_output,28.48169000208145,8.156730497342975,4637.2705160029,565,1,1,1
0.6,0.5182815333905132,req_0953,long_output,25.557250999554526,8.225938615240125,8449.142048004433,1024,1,1,1
0.6,0.5182815333905132,req_0155,short_interactive,24.387487006606534,8.601703437477681,2226.7481240050984,256,1,1,1
0.6,0.5182815333905132,req_0504,coding_request,28.043711005011573,8.755784011090226,1604.3808390022605,180,1,1,1
0.6,0.5182815333905132,req_0749,document_qa,113.1596140039619,8.108236749952388,308.0614720020094,24,1,1,1
0.6,0.5182815333905132,req_0196,short_interactive,23.274305000086315,7.88345508317434,212.74860199628165,24,1,1,1
0.6,0.5182815333905132,req_0774,document_qa,355.70828300114954,7.35131471394977,458.8550429980387,14,0,1,0
0.6,0.5182815333905132,req_0321,knowledge_qa,14.136807003524154,7.7304727058029075,277.17398299864726,34,1,1,1
0.6,0.5182815333905132,req_0318,knowledge_qa,20.294843998271972,7.753433195672266,733.8418329964043,92,1,1,1
0.6,0.5182815333905132,req_0629,coding_request,15.666938001231756,8.081692572261545,4153.677558999334,512,1,1,1
0.6,0.5182815333905132,req_0035,short_interactive,20.316773996455595,7.97191586106136,307.6009409996914,36,1,1,1
0.6,0.5182815333905132,req_0117,short_interactive,23.45468700514175,8.0750743666916,508.69943400175544,60,1,1,1
0.6,0.5182815333905132,req_0205,short_interactive,21.73896300519118,8.035354847854013,391.67641200037906,46,1,1,1
0.6,0.5182815333905132,req_0769,document_qa,119.20160499721533,7.86212593878617,889.884541000356,98,1,1,1
0.6,0.5182815333905132,req_0094,short_interactive,216.82951699767727,7.264525538350706,311.474554000597,13,1,1,1
0.6,0.5182815333905132,req_0587,coding_request,14.147656998829916,8.427141111440884,2888.094492001983,341,1,1,1
0.6,0.5182815333905132,req_0748,document_qa,108.9083170008962,8.363981742407148,1765.2992889998131,198,1,1,1
0.6,0.5182815333905132,req_0218,short_interactive,27.53585099708289,8.321182652366588,2158.0109060014365,256,1,1,1
0.6,0.5182815333905132,req_0967,long_output,26.75052500126185,8.501583529323398,5535.995226004161,648,1,1,1
0.6,0.5182815333905132,req_0399,knowledge_qa,25.80828600184759,8.152916101551,1069.6678730018903,128,1,1,1
0.6,0.5182815333905132,req_0891,long_context_qa,245.75622400152497,8.348082058813922,813.719019999553,68,1,1,1
0.6,0.5182815333905132,req_0081,short_interactive,27.76922600605758,8.137692910139549,2111.235216005298,256,1,1,1
0.6,0.5182815333905132,req_0632,coding_request,25.212424006895162,8.01785732031135,4130.7145900063915,512,1,1,1
0.6,0.5182815333905132,req_0370,knowledge_qa,23.4268880012678,8.136084749935435,544.3575469980715,64,1,1,1
0.6,0.5182815333905132,req_0260,short_interactive,25.921469001332298,8.181142504204715,999.7698229999514,119,1,1,1
0.6,0.5182815333905132,req_0346,knowledge_qa,25.891067001794,8.095517809001802,746.6253070015227,89,1,1,1
0.6,0.5182815333905132,req_0596,coding_request,31.211173998599406,8.401502516372588,1056.455026002368,122,1,1,1
