op,rows,width,dtype,backend,phase,blocks,median_p50_us,median_p95_us,median_p50_ci_low_us,median_p50_ci_high_us,max_abs_error,peak_allocated_bytes,speedup_vs_eager_or_unfused,speedup_vs_compile_or_dense
rms,8,5120,torch.float16,tilelang,forward_backward,5,9.559999778866768,9.795359671115875,9.539200365543365,9.583999961614609,0.00048828125,174592,7.032134019737571,1.5260251475026
rms,8,5120,torch.float16,triton,forward,5,2.611199952661991,2.7524799946695566,2.598400041460991,2.6256000623106956,0.000244140625,82432,10.585171755045895,2.077205900972931
rms,8,5120,torch.float16,triton,forward_backward,5,8.407999947667122,8.632480166852474,8.393599838018417,8.416000008583069,0.000244140625,174592,7.995623226937039,1.7351094390429656
rms,32,1536,torch.bfloat16,compile,forward,5,3.359999880194664,3.534399885684252,3.3472001552581787,3.372799977660179,0.0,98816,7.746190641072591,1.0
rms,32,1536,torch.bfloat16,compile,forward_backward,5,9.267199784517288,9.572480134665966,9.251199662685394,9.302400052547455,0.0,200192,7.123619005123319,1.0
rms,32,1536,torch.bfloat16,eager,forward,5,26.027199625968933,26.180159747600555,26.020801067352295,26.049600541591644,0.0,891392,1.0,0.12909571250386023
rms,32,1536,torch.bfloat16,eager,forward_backward,5,66.01600050926208,66.2459197640419,65.99040031433105,66.02400243282318,0.0,1290752,1.0,0.14037808581295522
rms,32,1536,torch.bfloat16,liger,forward,5,2.304000034928322,2.4264000169932842,2.287999913096428,2.332800067961216,0.0,98816,11.29652744418411,1.4583332592263587
rms,32,1536,torch.bfloat16,liger,forward_backward,5,12.542399764060974,12.702240198850632,12.534399330615997,12.55199983716011,0.0,869888,5.26342659707152,0.7388697505138967
rms,32,1536,torch.bfloat16,tilelang,forward,5,2.4320000782608986,3.110080044716594,2.4159999564290047,2.444799989461899,0.0,98816,10.70197318602915,1.3815788536476403
rms,32,1536,torch.bfloat16,tilelang,forward_backward,5,7.472000271081924,7.646560110151768,7.45760016143322,7.473600283265114,0.0,200192,8.835117520639912,1.2402568854799338
rms,32,1536,torch.bfloat16,triton,forward,5,2.223999984562397,2.360320053994655,2.2096000611782074,2.232000045478344,0.0,98816,11.702877610896273,1.510791323524128
rms,32,1536,torch.bfloat16,triton,forward_backward,5,7.744000107049942,7.870719917118549,7.731200009584427,7.756800204515457,0.0,200192,8.524793336348587,1.1966941705076506
rms,32,1536,torch.float16,compile,forward,5,3.3344000577926636,3.4883201122283936,3.3167999237775803,3.3392000943422318,0.001953125,98816,7.6938576506539365,1.0
rms,32,1536,torch.float16,compile,forward_backward,5,9.15519967675209,9.51855979859829,9.145600348711014,9.172799810767174,0.001953125,200192,7.125306103947289,1.0
rms,32,1536,torch.float16,eager,forward,5,25.654399394989014,25.906079411506653,25.630399584770203,25.672000646591187,0.0,891392,1.0,0.129973810980894
rms,32,1536,torch.float16,eager,forward_backward,5,65.23360013961792,65.51888018846512,65.21919965744019,65.29600024223328,0.0,1290752,1.0,0.14034484770359806
rms,32,1536,torch.float16,liger,forward,5,2.2943999618291855,2.5041599478572607,2.2816000506281853,2.2991999983787537,0.001953125,98816,11.18131094045884,1.4532775946937992
rms,32,1536,torch.float16,liger,forward_backward,5,12.563200294971466,12.762880250811577,12.55360022187233,12.567999958992004,0.001953125,869888,5.19243493759534,0.7287314905276597
rms,32,1536,torch.float16,tilelang,forward,5,2.4528000503778458,2.6017599646002054,2.4480000138282776,2.454400062561035,0.001953125,98816,10.459229805966874,1.3594259578064711
rms,32,1536,torch.float16,tilelang,forward_backward,5,7.51039981842041,7.708800174295902,7.492799684405327,7.5279999524354935,0.001953125,200192,8.685769295480446,1.2190029689627915
rms,32,1536,torch.float16,triton,forward,5,2.2223999723792076,2.390719950199127,2.204800024628639,2.2415999323129654,0.001953125,98816,11.543556386713098,1.5003600158539399
rms,32,1536,torch.float16,triton,forward_backward,5,7.699199765920639,7.870399914681911,7.69599974155426,7.715199887752533,0.001953125,200192,8.472776668085004,1.189110551108989
rms,32,3584,torch.bfloat16,compile,forward,5,4.620800167322159,4.7695999406278125,4.616000130772591,4.641599953174591,0.0,229888,6.757271321699219,1.0
rms,32,3584,torch.bfloat16,compile,forward_backward,5,12.520000338554382,12.665440663695335,12.49919980764389,12.564799934625626,0.0,466432,6.183642048409729,1.0
rms,32,3584,torch.bfloat16,eager,forward,5,31.224000453948975,31.38751909136772,31.21599853038788,31.246399879455566,0.0,2079232,1.0,0.14798872982778719
