unix_ts,elapsed_s,utc_time,running_requests,waiting_requests,waiting_capacity,waiting_deferred,kv_cache_usage,preemptions_total,gpu_util_pct,fb_used_mb,power_w,gpu_temp_c,engine_up,dcgm_up
1788785813,75,2026-09-07 12:56:53+00:00,64.0,0.0,0.0,0.0,0.016317207007652046,0.0,100.0,74382.0,288.117,65.0,1.0,1.0
1788785814,76,2026-09-07 12:56:54+00:00,64.0,0.0,0.0,0.0,0.015165626258558218,0.0,100.0,74382.0,285.626,65.0,1.0,1.0
1788785815,77,2026-09-07 12:56:55+00:00,64.0,0.0,0.0,0.0,0.013957410390656455,0.0,99.0,74382.0,362.362,65.0,1.0,1.0
1788785816,78,2026-09-07 12:56:56+00:00,39.0,25.0,25.0,0.0,0.008388290374546914,0.0,99.0,74382.0,301.481,64.0,1.0,1.0
1788785817,79,2026-09-07 12:56:57+00:00,24.0,19.0,19.0,0.0,0.005569120016109541,0.0,99.0,74382.0,304.174,64.0,1.0,1.0
1788785818,80,2026-09-07 12:56:58+00:00,64.0,0.0,0.0,0.0,0.016694774466371354,0.0,100.0,74382.0,273.911,64.0,1.0,1.0
1788785819,81,2026-09-07 12:56:59+00:00,64.0,0.0,0.0,0.0,0.015316653242045897,0.0,100.0,74382.0,287.811,65.0,1.0,1.0
1788785820,82,2026-09-07 12:57:00+00:00,64.0,0.0,0.0,0.0,0.014542639951671377,0.0,94.0,74382.0,299.352,66.0,1.0,1.0
1788785821,83,2026-09-07 12:57:01+00:00,43.0,21.0,21.0,0.0,0.009187474828836084,0.0,100.0,74382.0,282.072,65.0,1.0,1.0
1788785822,84,2026-09-07 12:57:02+00:00,20.0,34.0,34.0,0.0,0.004291683447442574,0.0,100.0,74382.0,297.867,65.0,1.0,1.0
1788785823,85,2026-09-07 12:57:03+00:00,45.0,0.0,0.0,0.0,0.011817861457913859,0.0,100.0,74382.0,301.578,65.0,1.0,1.0
1788785824,86,2026-09-07 12:57:04+00:00,64.0,0.0,0.0,0.0,0.01571309907370122,0.0,100.0,74382.0,302.856,66.0,1.0,1.0
1788785825,87,2026-09-07 12:57:05+00:00,64.0,0.0,0.0,0.0,0.014611860652436581,0.0,100.0,74382.0,282.047,66.0,1.0,1.0
1788785826,88,2026-09-07 12:57:06+00:00,56.0,8.0,8.0,0.0,0.012239478453483721,0.0,98.0,74382.0,297.261,67.0,1.0,1.0
1788785827,89,2026-09-07 12:57:07+00:00,31.0,33.0,33.0,0.0,0.0067647503020539235,0.0,99.0,74382.0,302.272,66.0,1.0,1.0
1788785828,90,2026-09-07 12:57:08+00:00,16.0,0.0,0.0,0.0,0.004203584373741465,0.0,98.0,74382.0,306.044,66.0,1.0,1.0
1788785829,91,2026-09-07 12:57:09+00:00,64.0,0.0,0.0,0.0,0.016141008860249717,0.0,100.0,74382.0,302.272,66.0,1.0,1.0
